game_id,player1_matrix,player2_matrix,winner,move_count,game_duration,timestamp,final_board
1,conservative,moderate,player2,16,0.035,2025-09-29T16:06:12.489191,X..O........X..OXX...XO.XX...O........O..OO.....X...........O...
2,moderate,conservative,player1,17,0.034,2025-09-29T16:06:12.523000,X..O...X....X..O.O...XX..XO..........XO...O.....X...XO......O...
3,conservative,moderate,player2,16,0.034,2025-09-29T16:06:12.556783,X..O........X..OXX...XO.XX...O........O..OO.....X...........O...
4,moderate,conservative,player1,17,0.034,2025-09-29T16:06:12.591301,X..O...X....X..O.O...XX..XO..........XO...O.....X...XO......O...
5,conservative,moderate,player2,16,0.031,2025-09-29T16:06:12.622728,X..O........X..OXX...XO.XX...O........O..OO.....X...........O...
6,moderate,conservative,player1,17,0.033,2025-09-29T16:06:12.656240,X..O...X....X..O.O...XX..XO..........XO...O.....X...XO......O...
7,conservative,aggressive,player2,12,0.025,2025-09-29T16:06:12.680866,X..O........O..O.....XXO.XX..........X.....O...................O
8,aggressive,conservative,player1,23,0.046,2025-09-29T16:06:12.726588,X..OO..X...OX..OO....XXO.OX..........OO.XXXX....X..X........O..O
9,conservative,aggressive,player2,12,0.023,2025-09-29T16:06:12.749722,X..O........O..O.....XXO.XX..........X.....O...................O
10,aggressive,conservative,player1,23,0.046,2025-09-29T16:06:12.796214,X..OO..X...OX..OO....XXO.OX..........OO.XXXX....X..X........O..O
11,conservative,aggressive,player2,12,0.024,2025-09-29T16:06:12.819886,X..O........O..O.....XXO.XX..........X.....O...................O
12,aggressive,conservative,player1,23,0.045,2025-09-29T16:06:12.864622,X..OO..X...OX..OO....XXO.OX..........OO.XXXX....X..X........O..O
13,conservative,very_aggressive,player2,20,0.042,2025-09-29T16:06:12.906199,XXOX.X......X..X.....OO..OO..........OO..OO.....X..X........X.OX
14,very_aggressive,conservative,player1,21,0.041,2025-09-29T16:06:12.947347,X..OX..OO..XX..O.....OX..OX..........XO..XO.....O..X....X...O..X
15,conservative,very_aggressive,player2,20,0.039,2025-09-29T16:06:12.986551,XXOX.X......X..X.....OO..OO..........OO..OO.....X..X........X.OX
16,very_aggressive,conservative,player1,21,0.041,2025-09-29T16:06:13.027331,X..OX..OO..XX..O.....OX..OX..........XO..XO.....O..X....X...O..X
17,conservative,very_aggressive,player2,20,0.042,2025-09-29T16:06:13.069690,XXOX.X......X..X.....OO..OO..........OO..OO.....X..X........X.OX
18,very_aggressive,conservative,player1,21,0.042,2025-09-29T16:06:13.111313,X..OX..OO..XX..O.....OX..OX..........XO..XO.....O..X....X...O..X
19,moderate,aggressive,player2,12,0.025,2025-09-29T16:06:13.135949,X..O........O..O.....XXO.XX..........X.....O...................O
20,aggressive,moderate,tie,64,0.126,2025-09-29T16:06:13.262050,XOOOOXXOXXOOXOXXXOXXOOXOXOXXOXOOXXXOOXOOOXOXXOOXOXXXXOOXXOOOOOXX
21,moderate,aggressive,player2,12,0.024,2025-09-29T16:06:13.285791,X..O........O..O.....XXO.XX..........X.....O...................O
22,aggressive,moderate,tie,64,0.125,2025-09-29T16:06:13.411102,XOOOOXXOXXOOXOXXXOXXOOXOXOXXOXOOXXXOOXOOOXOXXOOXOXXXXOOXXOOOOOXX
23,moderate,aggressive,player2,12,0.023,2025-09-29T16:06:13.434539,X..O........O..O.....XXO.XX..........X.....O...................O
24,aggressive,moderate,tie,64,0.133,2025-09-29T16:06:13.567383,XOOOOXXOXXOOXOXXXOXXOOXOXOXXOXOOXXXOOXOOOXOXXOOXOXXXXOOXXOOOOOXX
25,moderate,very_aggressive,player1,21,0.045,2025-09-29T16:06:13.612157,XXOXO.......X..X.....OO..OO..........OO..OO.....X..X........XXXX
26,very_aggressive,moderate,tie,64,0.131,2025-09-29T16:06:13.743680,XOOOXOXXOXXOXOOOOXXOXOXOOOXOXOOXXOOXOXOXOXOXXXXOOXOXOXXOXOOXOXXX
27,moderate,very_aggressive,player1,21,0.042,2025-09-29T16:06:13.785973,XXOXO.......X..X.....OO..OO..........OO..OO.....X..X........XXXX
28,very_aggressive,moderate,tie,64,0.128,2025-09-29T16:06:13.913976,XOOOXOXXOXXOXOOOOXXOXOXOOOXOXOOXXOOXOXOXOXOXXXXOOXOXOXXOXOOXOXXX
29,moderate,very_aggressive,player1,21,0.041,2025-09-29T16:06:13.954812,XXOXO.......X..X.....OO..OO..........OO..OO.....X..X........XXXX
30,very_aggressive,moderate,tie,64,0.125,2025-09-29T16:06:14.079367,XOOOXOXXOXXOXOOOOXXOXOXOOOXOXOOXXOOXOXOXOXOXXXXOOXOXOXXOXOOXOXXX
